gene_idx	gene_name	category	n_train_flipped	n_val_flipped	n_val_not_flipped	cutoff_99th	tp	fp	fn	tn	sensitivity	specificity	false_positive_rate	dor	log10_dor
4791	JIOBMH_12485 Immunodominant staphylococcal antigen B	other	1644	321	87033	4.156578602790833	317	6	4	87027	0.9875389408099688	0.999931060632174	6.893936782599704e-05	1149481.625	6.060502033260898
1887	FEOBHI_04895 glycine glycyltransferase FemA	other	1695	330	87024	3.8850905084609986	329	25	1	86999	0.996969696969697	0.9997127229270086	0.0002872770729913587	1144906.84	6.05877014997727
1869	FEOBHI_08170 beta-ketoacyl-ACP synthase II	other	1713	315	87039	4.251625976562497	314	24	1	87015	0.9968253968253968	0.9997242615379313	0.0002757384620687278	1138446.25	6.056312530884887
1229	FEOBHI_11035 Uncharacterized membrane protein	other	1719	354	87000	3.714618992805474	353	27	1	86973	0.9971751412429378	0.9996896551724138	0.0003103448275862069	1137091.4444444445	6.055795391882717
2043	FEOBHI_08425 D-alanine--poly(phosphoribitol) ligase subunit DltA	other	1581	312	87042	3.7780394077301027	311	24	1	87018	0.9967948717948718	0.9997242710415661	0.0002757289584338595	1127608.25	6.052158244670626
910	FEOBHI_11235 1-acyl-sn-glycerol-3-phosphate acyltransferase	other	1689	312	87042	3.4991668033599823	311	24	1	87018	0.9967948717948718	0.9997242710415661	0.0002757289584338595	1127608.25	6.052158244670626
484	FEOBHI_05385 DUF4115 domain-containing protein	other	1698	312	87042	4.4069571352005	311	24	1	87018	0.9967948717948718	0.9997242710415661	0.0002757289584338595	1127608.25	6.052158244670626
882	FEOBHI_03470 Holliday junction branch migration protein RuvA	other	1740	309	87045	3.905261363983154	308	24	1	87021	0.9967637540453075	0.9997242805445459	0.0002757194554540755	1116769.5	6.04796354446016
217	FEOBHI_02970 30S ribosomal protein S17	core	1653	306	87048	3.616508350372315	304	12	2	87036	0.9934640522875817	0.9998621450234354	0.00013785497656465398	1102456.0	6.042361265406519
5076	EFLOIL_11775 Phage protein	phage	1824	333	87021	5.252927198410034	330	9	3	87012	0.990990990990991	0.9998965766883856	0.0001034233116144379	1063480.0	6.026729326893838
629	FEOBHI_08500 SUF system NifU family Fe-S cluster assembly protein	iron_fes	1671	330	87024	3.9017583608627318	329	27	1	86997	0.996969696969697	0.9996897407611693	0.0003102592388306674	1060074.5555555555	6.025336410479609
1309	FEOBHI_03995 Octanoyltransferase LipM	other	1494	294	87060	3.5922379589080795	292	12	2	87048	0.9931972789115646	0.9998621640248104	0.00013783597518952445	1059084.0	6.024930407028853
1422	FEOBHI_05565 succinate--CoA ligase subunit alpha	other	1602	288	87066	4.232750005722046	287	24	1	87042	0.9965277777777778	0.9997243470470677	0.0002756529529322583	1040877.25	6.0173995164549
496	FEOBHI_02995 30S ribosomal protein S8	core	1587	315	87039	3.6277003145217877	314	27	1	87012	0.9968253968253968	0.9996897942301727	0.0003102057698273188	1011917.3333333334	6.005145035089165
4788	JIOBMH_12475 CHAP domain-containing protein	other	1503	282	87072	4.054237823486329	278	6	4	87066	0.9858156028368794	0.9999310915104741	6.89084895259096e-05	1008514.5	6.003682146698232
423	FEOBHI_10965 DUF2294 domain-containing protein	other	1623	315	87039	3.724512891769409	312	9	3	87030	0.9904761904761905	0.9998965980767243	0.00010340192327577293	1005680.0	6.002459813381782
1613	FEOBHI_11325 DNA-binding transcriptional regulator LsrR, DeoR family	other	1626	306	87048	3.5938164591789246	303	9	3	87039	0.9901960784313726	0.9998966087675765	0.00010339123242349049	976771.0	5.98979275707223
1465	FEOBHI_08840 manganese-dependent inorganic pyrophosphatase	other	1677	330	87024	2.9530218982696534	325	6	5	87018	0.9848484848484849	0.9999310535024821	6.89464975179261e-05	942695.0	5.974371203614607
2020	FEOBHI_06300 dihydrolipoyl dehydrogenase	other	1713	306	87048	3.4860230445861817	302	7	4	87041	0.9869281045751634	0.9999195845970039	8.041540299604816e-05	938799.3571428572	5.9725727835369025
3342	MDBBCG_03730 CbiX protein	other	1731	300	87054	4.9373939037323	299	28	1	87026	0.9966666666666667	0.9996783605578147	0.00032163944218531026	929313.3571428572	5.968162179366422
901	FEOBHI_06055 succinate dehydrogenase, cytochrome b556 subunit	other	1611	258	87096	3.5405309915542604	256	12	2	87084	0.9922480620155039	0.99986222099752	0.00013777900248002206	928896.0	5.967967092729411
1728	FEOBHI_11040 Uncharacterized membrane protein	other	1611	318	87036	3.5366729259490977	317	30	1	87006	0.9968553459119497	0.9996553150420515	0.00034468495794843514	919363.4	5.963487210427529
370	FEOBHI_03820 rRNA maturation RNase YbeY	core	1734	339	87015	3.7989368367195144	335	8	4	87007	0.9882005899705014	0.9999080618284204	9.193817157961271e-05	910854.53125	5.959449023164047
