gene_idx	gene_name	category	n_train_flipped	cutoff_99th
347	FEOBHI_08790 Staphostatin-A domain-containing protein	other	1677	6.280354042053227
348	FEOBHI_10030 Anti-sigma-B factor antagonist	other	1656	3.535552716255188
349	FEOBHI_02615 Transmembrane protein	other	1692	10.992177820205653
350	FEOBHI_03930 Thiamin-binding stress-response protein YqgV, UPF0045 family	other	1653	4.721397418975832
351	FEOBHI_04250 Helix-turn-helix domain-containing protein	other	1716	8.011826872825619
352	FEOBHI_06025 complement convertase inhibitor Ecb	other	1764	8.865778951644897
353	FEOBHI_07860 staphostatin B	other	1782	6.439875049591064
354	FEOBHI_09205 Phage protein	phage	1719	8.628360347747801
355	FEOBHI_09935 Branched-chain amino acid transport protein	other	1683	6.269251346588136
356	FEOBHI_12525 Single-stranded DNA-binding protein	other	1773	6.050942020416259
357	FEOBHI_00405 Glycine cleavage system H-like protein	other	1620	6.482150015830993
358	FEOBHI_04440 Phage protein	phage	1752	7.583686404228211
